# run: play-huge-friend-system
# time: 2025-11-18T19:54:40.294796+00:00
# command: project/eta_runner.py
# git_commit: 6823b90aaf5d9c92e5d55f4cd9c588f2d6e9ed44
# config: {"n": 4096, "max_factor": 9, "max_eta": 0.4, "max_steps": 64, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,1,0.0,0.0,0.0,0
1,1,0.0,0.0,0.1428571492433548,1
1,2,0.0,0.0,0.2857142984867096,2
1,3,0.0078125,0.0,0.4285714626312256,3
1,5,0.00390625,0.0,0.5714285969734192,4
1,6,0.0078125,0.0,0.7142857313156128,5
1,7,0.04296875,0.0,0.8571429252624512,6
1,9,0.13671875,0.0,1.0,7
1,10,0.265625,0.0,1.1428571939468384,8
1,11,0.46875,0.0,1.2857143878936768,9
1,13,0.76171875,0.0,1.4285714626312256,10
1,14,0.875,0.0,1.571428656578064,11
1,15,0.953125,0.0,1.7142858505249023,12
1,17,0.98828125,0.0,1.8571429252624512,13
1,18,0.9921875,0.0,2.0,14
1,19,0.99609375,0.0,2.142857313156128,15
1,21,1.0,0.0,2.2857143878936768,16
1,22,1.0,0.0,2.4285714626312256,17
1,23,1.0,0.0,2.5714287757873535,18
1,25,1.0,0.0,2.7142858505249023,19
1,26,1.0,0.0,2.857142925262451,20
1,27,1.0,0.0,3.000000238418579,21
1,29,1.0,0.0,3.142857313156128,22
1,30,1.0,0.0,3.2857143878936768,23
1,31,1.0,0.0,3.4285717010498047,24
1,33,1.0,0.0,3.5714287757873535,25
1,34,1.0,0.0,3.7142858505249023,26
1,35,1.0,0.0,3.857142925262451,27
1,37,1.0,0.0,4.0,28
1,38,1.0,0.0,4.142857551574707,29
1,39,1.0,0.0,4.285714626312256,30
1,41,1.0,0.0,4.428571701049805,31
1,42,1.0,0.0,4.571428298950195,32
1,43,1.0,0.0,4.714285373687744,33
1,45,1.0,0.0,4.857142448425293,34
1,46,1.0,0.0,5.0,35
1,47,1.0,0.0,5.142857074737549,36
1,49,1.0,0.0,5.285714149475098,37
1,50,1.0,0.0,5.4285712242126465,38
1,51,1.0,0.0,5.571428298950195,39
1,53,1.0,0.0,5.714285373687744,40
1,54,1.0,0.0,5.857142925262451,41
1,55,1.0,0.0,6.0,42
1,57,1.0,0.0,6.142857074737549,43
