dict_type,k,eta,d,method,n,d_per_nat,acc
rademacher,1,0.0,1,2_step,256,0.0,0.007822779605263157
rademacher,1,0.0,1,2_step,256,0.1428571492433548,0.007822779605263157
rademacher,1,0.0,1,2_step,256,0.2857142984867096,0.007822779605263157
rademacher,1,0.0,1,2_step,4096,0.0,0.000491952537593985
rademacher,1,0.0,1,2_step,4096,0.1428571492433548,0.000491952537593985
rademacher,1,0.0,1,2_step,65536,0.0,4.111842105263158e-05
rademacher,1,0.0,1,2_step,65536,0.1428571492433548,4.111842105263158e-05
rademacher,1,0.0,1,2_step,1048576,0.0,0.0
rademacher,1,0.0,1,3_step,256,0.0,0.00766515899122807
rademacher,1,0.0,1,3_step,256,0.1428571492433548,0.00766515899122807
rademacher,1,0.0,1,3_step,256,0.2857142984867096,0.00766515899122807
rademacher,1,0.0,1,3_step,4096,0.0,0.0004772673872180451
rademacher,1,0.0,1,3_step,4096,0.1428571492433548,0.0004772673872180451
rademacher,1,0.0,1,3_step,65536,0.0,3.0838815789473685e-05
rademacher,1,0.0,1,3_step,65536,0.1428571492433548,3.0838815789473685e-05
rademacher,1,0.0,1,3_step,1048576,0.0,0.0
rademacher,1,0.0,1,64_step,256,0.0,0.007743969298245614
rademacher,1,0.0,1,64_step,256,0.1428571492433548,0.007743969298245614
rademacher,1,0.0,1,64_step,256,0.2857142984867096,0.007743969298245614
rademacher,1,0.0,1,64_step,4096,0.0,0.0005286654135338346
rademacher,1,0.0,1,64_step,4096,0.1428571492433548,0.0005286654135338346
rademacher,1,0.0,1,64_step,65536,0.0,2.055921052631579e-05
rademacher,1,0.0,1,64_step,65536,0.1428571492433548,2.055921052631579e-05
rademacher,1,0.0,1,64_step,1048576,0.0,0.0
rademacher,1,0.0,1,map,256,0.0,0.0
rademacher,1,0.0,1,map,256,0.1428571492433548,0.0
rademacher,1,0.0,1,map,256,0.2857142984867096,0.0
rademacher,1,0.0,1,map,4096,0.0,0.0
rademacher,1,0.0,1,map,4096,0.1428571492433548,0.0
rademacher,1,0.0,1,map,65536,0.0,0.0
rademacher,1,0.0,1,map,65536,0.1428571492433548,0.0
rademacher,1,0.0,1,map,1048576,0.0,0.0
rademacher,1,0.0,1,top_k,256,0.0,0.007797580295138889
rademacher,1,0.0,1,top_k,256,0.1428571492433548,0.007797580295138889
rademacher,1,0.0,1,top_k,256,0.2857142984867096,0.007797580295138889
rademacher,1,0.0,1,top_k,4096,0.0,0.0004989381820436508
rademacher,1,0.0,1,top_k,4096,0.1428571492433548,0.0004989381820436508
rademacher,1,0.0,1,top_k,65536,0.0,3.662109375e-05
rademacher,1,0.0,1,top_k,65536,0.1428571492433548,3.662109375e-05
rademacher,1,0.0,1,top_k,1048576,0.0,3.3908420138888887e-06
rademacher,1,0.0,2,2_step,256,0.4285714626312256,0.015655838815789472
rademacher,1,0.0,2,2_step,4096,0.2857142984867096,0.0007048872180451127
rademacher,1,0.0,2,2_step,1048576,0.1428571492433548,2.5699013157894735e-05
rademacher,1,0.0,2,3_step,256,0.4285714626312256,0.015522203947368422
rademacher,1,0.0,2,3_step,4096,0.2857142984867096,0.0010426456766917294
rademacher,1,0.0,2,3_step,1048576,0.1428571492433548,0.0
rademacher,1,0.0,2,64_step,256,0.4285714626312256,0.014884868421052631
rademacher,1,0.0,2,64_step,4096,0.2857142984867096,0.0008957941729323308
rademacher,1,0.0,2,64_step,1048576,0.1428571492433548,0.0
rademacher,1,0.0,2,map,256,0.4285714626312256,0.0
rademacher,1,0.0,2,map,4096,0.2857142984867096,0.0
rademacher,1,0.0,2,map,1048576,0.1428571492433548,0.0
rademacher,1,0.0,2,top_k,256,0.4285714626312256,0.015608723958333333
rademacher,1,0.0,2,top_k,4096,0.2857142984867096,0.0009455605158730159
rademacher,1,0.0,2,top_k,1048576,0.1428571492433548,6.781684027777777e-06
rademacher,1,0.0,3,2_step,256,0.5714285969734192,0.03187705592105263
rademacher,1,0.0,3,2_step,4096,0.4285714626312256,0.0019971804511278194
rademacher,1,0.0,3,2_step,65536,0.2857142984867096,8.223684210526316e-05
rademacher,1,0.0,3,3_step,256,0.5714285969734192,0.030818256578947368
rademacher,1,0.0,3,3_step,4096,0.4285714626312256,0.002232142857142857
rademacher,1,0.0,3,3_step,65536,0.2857142984867096,0.00012335526315789474
rademacher,1,0.0,3,64_step,256,0.5714285969734192,0.031712582236842105
rademacher,1,0.0,3,64_step,4096,0.4285714626312256,0.0019971804511278194
rademacher,1,0.0,3,64_step,65536,0.2857142984867096,0.0001850328947368421
rademacher,1,0.0,3,map,256,0.5714285969734192,0.0
rademacher,1,0.0,3,map,4096,0.4285714626312256,0.0
rademacher,1,0.0,3,map,65536,0.2857142984867096,0.0
rademacher,1,0.0,3,top_k,256,0.5714285969734192,0.031119791666666667
rademacher,1,0.0,3,top_k,4096,0.4285714626312256,0.0018814329117063492
rademacher,1,0.0,3,top_k,65536,0.2857142984867096,0.00013563368055555556
