d,n,init_loss,final_loss
16,512,0.2492009550333023,0.24630355834960938
23,512,0.2086518108844757,0.20397648215293884
32,512,0.17691783607006073,0.17133069038391113
45,512,0.14889022707939148,0.14250881969928741
64,512,0.12480512261390686,0.11704114824533463
91,512,0.10490291565656662,0.09515023976564407
128,512,0.08827349543571472,0.076621413230896
181,512,0.0741162821650505,0.059822458773851395
256,512,0.062475405633449554,0.044237393885850906
362,512,0.05237164348363876,0.02847612276673317
512,512,0.04427957162261009,0.0
16,4096,0.24992787837982178,0.24954703450202942
23,4096,0.20853829383850098,0.20795610547065735
32,4096,0.1768183410167694,0.17610718309879303
45,4096,0.1491096466779709,0.14826835691928864
64,4096,0.12499939650297165,0.12403476238250732
91,4096,0.10484082251787186,0.10367011278867722
128,4096,0.08842649310827255,0.08700693398714066
181,4096,0.0743430033326149,0.07267744094133377
256,4096,0.06251794844865799,0.06052275374531746
362,4096,0.052555691450834274,0.05018869414925575
512,4096,0.04418556019663811,0.041344910860061646
724,4096,0.03716567903757095,0.03372465446591377
1024,4096,0.03125656768679619,0.02706659771502018
16,64,0.2458275556564331,0.2182178944349289
18,64,0.23672336339950562,0.20140598714351654
21,64,0.21805931627750397,0.1802828162908554
24,64,0.20541374385356903,0.16265001893043518
28,64,0.18791703879833221,0.1428571343421936
32,64,0.17695187032222748,0.1259881556034088
37,64,0.16555899381637573,0.10762439668178558
42,64,0.15674154460430145,0.09118358045816422
49,64,0.13825583457946777,0.06970781087875366
56,64,0.13402414321899414,0.047633517533540726
64,64,0.12321782857179642,6.151765410322696e-05
16,512,0.2494015097618103,0.24630354344844818
18,512,0.23568269610404968,0.23174849152565002
21,512,0.2180187702178955,0.21390488743782043
24,512,0.20434412360191345,0.19947746396064758
28,512,0.18849480152130127,0.18392176926136017
32,512,0.17773662507534027,0.17133070528507233
37,512,0.16447857022285461,0.1585022658109665
42,512,0.15410272777080536,0.14798368513584137
49,512,0.14298087358474731,0.13598217070102692
56,512,0.13401782512664795,0.1262344866991043
