n,k,d,method,acc
256,1,64,threshold,0.999634929906542
256,1,64,top_k,1.0
256,1,128,threshold,1.0
256,1,128,top_k,1.0
256,1,192,threshold,1.0
256,1,192,top_k,1.0
256,1,256,threshold,1.0
256,1,256,top_k,1.0
256,1,320,threshold,1.0
256,1,320,top_k,1.0
256,1,384,threshold,1.0
256,1,384,top_k,1.0
256,1,448,threshold,1.0
256,1,448,top_k,1.0
256,1,512,threshold,1.0
256,1,512,top_k,1.0
256,1,576,threshold,1.0
256,1,576,top_k,1.0
256,1,640,threshold,1.0
256,1,640,top_k,1.0
256,1,704,threshold,1.0
256,1,704,top_k,1.0
256,1,768,threshold,1.0
256,1,768,top_k,1.0
256,1,832,threshold,1.0
256,1,832,top_k,1.0
256,1,896,threshold,1.0
256,1,896,top_k,1.0
256,1,960,threshold,1.0
256,1,960,top_k,1.0
256,1,1024,threshold,1.0
256,1,1024,top_k,1.0
256,1,1088,threshold,1.0
256,1,1088,top_k,1.0
256,1,1152,threshold,1.0
256,1,1152,top_k,1.0
256,1,1216,threshold,1.0
256,1,1216,top_k,1.0
256,1,1280,threshold,1.0
256,1,1280,top_k,1.0
256,1,1344,threshold,1.0
256,1,1344,top_k,1.0
256,1,1408,threshold,1.0
256,1,1408,top_k,1.0
256,1,1472,threshold,1.0
256,1,1472,top_k,1.0
256,1,1536,threshold,1.0
256,1,1536,top_k,1.0
256,1,1600,threshold,1.0
256,1,1600,top_k,1.0
256,1,1664,threshold,1.0
256,1,1664,top_k,1.0
256,1,1728,threshold,1.0
256,1,1728,top_k,1.0
256,1,1792,threshold,1.0
256,1,1792,top_k,1.0
256,1,1856,threshold,1.0
256,1,1856,top_k,1.0
256,1,1920,threshold,1.0
256,1,1920,top_k,1.0
256,1,1984,threshold,1.0
256,1,1984,top_k,1.0
256,1,2048,threshold,1.0
256,1,2048,top_k,1.0
256,1,2112,threshold,1.0
256,1,2112,top_k,1.0
256,1,2176,threshold,1.0
256,1,2176,top_k,1.0
256,1,2240,threshold,1.0
256,1,2240,top_k,1.0
256,1,2304,threshold,1.0
256,1,2304,top_k,1.0
256,1,2368,threshold,1.0
256,1,2368,top_k,1.0
256,1,2432,threshold,1.0
256,1,2432,top_k,1.0
256,1,2496,threshold,1.0
256,1,2496,top_k,1.0
256,1,2560,threshold,1.0
256,1,2560,top_k,1.0
256,1,2624,threshold,1.0
256,1,2624,top_k,1.0
256,1,2688,threshold,1.0
256,1,2688,top_k,1.0
256,1,2752,threshold,1.0
256,1,2752,top_k,1.0
256,1,2816,threshold,1.0
256,1,2816,top_k,1.0
256,1,2880,threshold,1.0
256,1,2880,top_k,1.0
256,1,2944,threshold,1.0
256,1,2944,top_k,1.0
256,1,3008,threshold,1.0
256,1,3008,top_k,1.0
