d,n,k,errs
20,65536,2,0
44,65536,2,0
68,65536,2,0
92,65536,2,0
116,65536,2,0
140,65536,2,0
164,65536,2,0
188,65536,2,0
212,65536,2,0
236,65536,2,0
260,65536,2,0
284,65536,2,0
308,65536,2,0
332,65536,2,0
356,65536,2,0
380,65536,2,0
404,65536,2,0
428,65536,2,0
452,65536,2,0
476,65536,2,0
500,65536,2,0
524,65536,2,0
548,65536,2,0
572,65536,2,0
596,65536,2,0
620,65536,2,0
644,65536,2,0
668,65536,2,0
692,65536,2,0
716,65536,2,0
740,65536,2,0
764,65536,2,0
788,65536,2,0
812,65536,2,0
836,65536,2,0
860,65536,2,0
884,65536,2,0
908,65536,2,0
932,65536,2,0
956,65536,2,0
980,65536,2,0
1004,65536,2,0
20,65536,4,1
44,65536,4,0
68,65536,4,0
92,65536,4,0
116,65536,4,0
140,65536,4,0
164,65536,4,0
188,65536,4,0
212,65536,4,0
236,65536,4,0
260,65536,4,0
284,65536,4,0
308,65536,4,0
332,65536,4,0
356,65536,4,0
380,65536,4,0
404,65536,4,0
428,65536,4,0
452,65536,4,0
476,65536,4,0
500,65536,4,0
524,65536,4,0
548,65536,4,0
572,65536,4,0
596,65536,4,0
620,65536,4,0
644,65536,4,0
668,65536,4,0
692,65536,4,0
716,65536,4,0
740,65536,4,0
764,65536,4,0
788,65536,4,0
812,65536,4,0
836,65536,4,0
860,65536,4,0
884,65536,4,0
908,65536,4,0
932,65536,4,0
956,65536,4,0
980,65536,4,0
1004,65536,4,0
20,65536,6,0
44,65536,6,0
68,65536,6,0
92,65536,6,0
116,65536,6,0
140,65536,6,0
164,65536,6,0
188,65536,6,0
212,65536,6,0
236,65536,6,0
260,65536,6,0
284,65536,6,0
308,65536,6,0
332,65536,6,0
356,65536,6,0
380,65536,6,0
404,65536,6,0
428,65536,6,0
452,65536,6,0
476,65536,6,0
500,65536,6,0
524,65536,6,0
548,65536,6,0
572,65536,6,0
596,65536,6,0
620,65536,6,0
644,65536,6,0
668,65536,6,0
692,65536,6,0
716,65536,6,0
740,65536,6,0
764,65536,6,0
788,65536,6,0
812,65536,6,0
836,65536,6,0
860,65536,6,0
884,65536,6,0
908,65536,6,0
932,65536,6,0
956,65536,6,0
980,65536,6,0
1004,65536,6,0
20,65536,8,1
44,65536,8,0
68,65536,8,1
92,65536,8,0
116,65536,8,0
140,65536,8,0
164,65536,8,0
188,65536,8,0
212,65536,8,0
236,65536,8,0
260,65536,8,0
284,65536,8,0
308,65536,8,0
332,65536,8,0
356,65536,8,0
380,65536,8,0
404,65536,8,0
428,65536,8,0
452,65536,8,0
476,65536,8,0
500,65536,8,0
