big_n,k,little_n,result
512,37,80,35
16384,81,440,67
1024,71,186,39
65536,33,166,35
16384,69,486,0
2048,42,268,0
65536,64,849,0
1024,91,427,0
1024,78,145,75
256,17,40,15
16384,8,98,0
8192,9,93,0
65536,90,579,80
8192,36,493,0
1024,22,72,18
512,45,249,0
4096,63,337,0
2048,56,604,0
2048,50,350,0
65536,26,442,0
512,12,64,0
32768,49,418,0
2048,56,587,0
32768,57,306,58
512,39,301,0
2048,6,75,0
2048,23,203,0
256,8,29,1
256,15,30,14
32768,56,308,56
16384,8,124,0
4096,99,281,107
1024,76,165,59
65536,96,784,0
4096,59,242,53
8192,62,485,0
2048,30,205,0
16384,53,748,0
65536,37,847,0
512,6,34,3
16384,7,93,0
32768,8,93,0
2048,11,88,0
65536,75,808,0
1024,9,68,0
65536,77,1127,0
8192,14,141,0
16384,62,368,50
1024,18,138,0
32768,48,339,44
2048,90,241,81
4096,42,273,0
1024,79,214,57
1024,81,225,48
2048,21,180,0
8192,100,574,0
8192,69,267,70
4096,83,635,0
512,53,130,31
8192,84,537,0
4096,46,232,30
2048,11,54,12
512,63,138,34
1024,87,404,0
256,19,85,0
512,59,207,0
8192,70,497,0
8192,44,522,0
2048,56,487,0
4096,45,148,45
4096,54,352,0
65536,42,688,0
1024,78,148,75
1024,66,135,54
4096,60,644,0
65536,43,647,0
16384,16,121,17
65536,43,284,41
4096,4,47,0
8192,8,89,0
4096,44,239,0
8192,58,620,0
16384,12,60,11
1024,11,60,9
8192,16,244,0
32768,18,314,0
2048,38,179,0
4096,27,155,16
16384,15,209,0
32768,72,852,0
4096,67,349,0
65536,99,793,67
65536,26,306,0
1024,36,161,0
65536,97,1202,0
1024,42,262,0
512,21,71,7
1024,99,360,0
2048,21,93,10
2048,7,48,0
2048,59,352,0
2048,52,296,0
65536,88,597,70
65536,75,937,0
256,14,114,0
4096,87,556,0
32768,96,693,0
8192,92,611,0
32768,7,75,0
8192,36,314,0
512,29,95,0
32768,60,556,0
256,26,103,0
65536,41,762,0
65536,95,1291,0
256,25,75,0
256,23,84,0
512,40,124,0
16384,19,334,0
65536,63,887,0
65536,86,830,0
256,26,67,17
256,24,75,0
256,31,83,0
1024,18,169,0
16384,88,677,0
512,3,28,0
8192,48,510,0
512,52,322,0
1024,48,170,0
2048,4,56,0
256,14,96,0
16384,64,156,72
2048,14,73,8
1024,43,166,0
1024,68,211,0
512,36,239,0
512,29,99,19
4096,75,400,0
32768,30,491,0
65536,53,544,0
65536,5,93,0
8192,67,424,0
1024,3,33,0
65536,38,318,37
32768,7,120,0
8192,17,234,0
65536,83,1228,0
4096,11,157,0
32768,75,508,55
1024,32,155,0
1024,35,127,12
1024,17,137,0
65536,25,335,0
8192,8,67,0
512,20,44,23
65536,70,869,0
512,40,232,0
8192,34,351,0
32768,13,191,0
32768,73,472,58
32768,92,884,0
2048,47,408,0
1024,31,128,0
1024,39,300,0
65536,35,186,40
1024,78,296,0
1024,15,95,0
8192,16,120,12
65536,65,856,0
4096,31,258,0
8192,16,198,0
4096,83,317,58
16384,97,1331,0
256,14,92,0
256,18,46,13
8192,49,336,0
16384,15,103,16
1024,56,198,21
1024,89,325,0
16384,79,1628,0
1024,84,202,48
512,17,99,0
256,15,30,18
1024,90,294,0
512,62,239,0
256,23,82,0
65536,53,823,0
2048,40,257,0
8192,2,28,1
16384,73,466,0
256,14,96,0
1024,73,332,0
8192,36,244,0
32768,96,1374,0
4096,7,71,0
512,60,147,29
32768,96,1093,0
2048,92,409,0
16384,4,44,0
16384,72,438,44
8192,4,34,4
8192,96,484,63
1024,35,334,0
32768,95,1693,0
4096,44,233,0
256,22,70,0
8192,31,118,38
8192,98,573,0
32768,25,238,0
16384,85,467,67
32768,100,810,0
16384,50,553,0
2048,90,274,45
65536,57,463,49
256,29,74,6
2048,70,410,0
256,15,55,0
16384,12,180,0
2048,7,77,0
65536,88,816,0
65536,16,260,0
512,17,57,7
256,16,49,0
2048,99,464,0
65536,82,1102,0
256,22,128,0
512,10,29,9
1024,79,218,44
8192,89,369,68
1024,90,339,0
512,30,43,33
256,20,64,0
8192,75,1217,0
16384,32,298,0
256,24,71,0
32768,70,630,0
2048,40,131,32
1024,99,179,94
8192,96,592,0
2048,97,311,40
1024,92,577,0
8192,23,267,0
2048,88,380,0
4096,67,501,0
16384,34,229,23
8192,47,394,0
8192,73,677,0
65536,81,698,0
65536,21,143,23
4096,18,100,18
512,54,261,0
1024,44,132,41
2048,25,222,0
256,31,84,21
512,40,171,0
8192,27,197,0
1024,35,154,0
4096,56,279,0
8192,91,984,0
65536,27,329,0
1024,43,580,0
16384,31,386,0
2048,63,198,63
1024,14,85,0
512,43,106,22
65536,55,644,0
32768,41,310,33
1024,73,258,0
1024,96,377,0
256,22,80,4
256,12,109,0
1024,89,398,0
256,15,66,0
512,28,195,0
65536,79,545,69
512,48,206,0
512,38,108,26
32768,21,240,0
16384,72,561,0
2048,10,49,9
8192,30,126,26
32768,47,386,33
512,64,126,48
256,15,87,0
256,28,92,0
512,58,282,0
65536,47,386,37
4096,60,408,0
2048,78,440,0
65536,39,509,0
1024,87,784,0
1024,21,121,0
4096,63,426,0
32768,29,297,0
65536,89,583,85
512,21,108,0
65536,100,722,78
32768,44,606,0
4096,96,487,0
16384,57,332,43
512,62,496,0
512,12,45,7
2048,94,415,0
256,24,85,0
32768,89,1026,0
256,5,14,7
256,16,43,11
512,11,35,14
4096,28,174,0
2048,40,143,34
16384,47,438,0
65536,14,184,0
8192,4,76,0
4096,76,293,57
65536,16,73,18
16384,99,529,81
4096,63,420,0
1024,36,236,0
256,23,87,0
1024,62,269,0
512,52,183,0
256,29,96,0
1024,97,112,92
32768,21,184,19
65536,35,299,25
65536,56,397,55
512,16,87,0
32768,96,965,0
8192,38,429,0
16384,3,51,0
2048,51,378,0
2048,63,151,63
65536,39,508,0
32768,64,661,0
4096,58,281,26
8192,7,91,0
4096,85,478,0
1024,52,397,0
1024,53,222,0
16384,87,545,0
4096,91,663,0
2048,9,59,0
256,8,48,0
65536,31,338,0
2048,68,183,73
65536,36,321,30
32768,23,240,0
65536,10,256,0
1024,21,79,13
32768,91,717,0
32768,84,459,74
32768,59,491,0
1024,100,260,38
16384,82,677,0
4096,17,150,0
65536,100,751,67
1024,33,186,0
32768,39,415,0
512,33,132,0
8192,82,212,95
1024,36,116,31
32768,45,436,0
2048,23,148,0
65536,61,972,0
8192,7,58,7
8192,17,170,0
4096,31,158,22
2048,85,442,0
32768,67,1071,0
4096,97,744,0
2048,48,182,33
1024,98,285,0
4096,32,242,0
65536,48,391,36
1024,23,122,0
65536,63,327,66
256,19,44,13
65536,3,47,0
512,31,182,0
512,21,162,0
32768,62,416,43
16384,81,522,0
256,8,29,9
4096,29,243,0
4096,87,391,0
32768,13,157,0
512,49,153,0
16384,67,432,52
32768,90,1213,0
1024,92,275,0
256,6,19,4
256,16,92,0
65536,85,652,60
16384,3,25,3
1024,88,509,0
2048,54,300,0
65536,11,105,0
16384,90,652,0
16384,16,240,0
256,20,94,0
512,53,213,0
16384,91,567,45
8192,82,707,0
1024,38,173,0
1024,56,210,0
16384,88,674,0
2048,98,759,0
32768,22,276,0
256,22,63,0
256,22,76,0
512,8,47,0
16384,21,175,0
16384,74,727,0
8192,22,268,0
512,38,142,0
4096,68,488,0
65536,58,744,0
512,26,100,13
