big_n,k,little_n,result
4096,78,6612,0
256,55,1719,1
65536,25,1620,0
32768,49,3323,3
16384,12,755,1
256,82,2336,2
65536,99,6043,1
2048,39,2145,2
512,30,603,5
1024,58,1848,1
1024,53,1541,1
1024,12,469,1
16384,42,2848,0
512,3,40,28
512,59,2755,0
256,37,1126,2
4096,9,193,28
4096,70,2723,2
32768,80,6240,0
512,56,849,14
2048,83,1315,47
1024,5,223,0
4096,19,869,2
4096,88,4670,0
2048,3,138,0
16384,25,1110,11
2048,8,47,282
1024,85,2257,6
256,40,136,53
65536,51,3497,1
32768,55,3599,2
8192,8,274,8
1024,83,2288,2
1024,86,246,209
4096,68,2955,2
65536,77,4188,9
4096,34,1702,0
32768,86,5218,3
2048,52,1218,14
1024,10,431,1
4096,84,4656,0
256,26,227,16
4096,32,1601,0
8192,21,1488,0
65536,20,1487,1
65536,91,3431,65
32768,8,408,5
65536,63,3856,2
1024,88,3754,0
2048,56,2841,0
256,22,542,2
512,77,4001,0
65536,3,137,13
1024,38,1083,2
16384,79,4490,1
4096,21,1169,0
512,70,2021,2
512,83,1918,1
8192,29,2241,0
512,37,732,12
1024,2,37,26
16384,63,3774,2
32768,83,5763,0
8192,53,1983,11
512,56,1205,7
2048,67,1744,9
4096,66,2854,3
1024,23,558,11
4096,45,2798,0
4096,30,892,11
16384,22,1192,4
32768,66,3660,0
256,28,454,7
65536,99,3536,103
4096,65,3863,0
512,95,883,22
256,5,32,30
32768,54,4583,0
16384,22,1209,2
32768,13,700,2
65536,85,4116,15
65536,53,3964,0
16384,38,1536,12
32768,80,1382,741
65536,75,6586,0
4096,50,3410,0
512,96,2670,1
65536,45,3207,1
32768,52,2978,3
4096,74,2744,3
256,40,2278,0
2048,36,1309,0
256,87,2083,0
512,57,2694,1
256,22,424,4
8192,79,956,345
512,12,121,39
512,57,1403,3
2048,43,1435,3
16384,20,1344,0
4096,55,1177,39
256,88,3109,0
256,61,994,5
1024,3,143,0
2048,62,3311,0
512,38,921,4
65536,55,4089,3
256,49,196,47
16384,29,1591,3
16384,75,4765,0
16384,56,1664,44
2048,2,10,240
16384,44,2318,5
8192,50,2778,2
1024,40,1928,0
8192,67,2912,3
65536,71,3761,10
65536,43,2119,17
4096,12,610,0
8192,82,5757,0
1024,91,3334,0
4096,32,1159,4
256,91,2137,4
4096,16,650,1
512,94,4506,0
16384,87,5006,1
4096,67,3372,0
8192,24,1807,0
65536,48,2541,10
512,40,1061,1
65536,28,1669,2
512,11,176,3
65536,83,3949,14
8192,54,490,548
2048,7,330,2
65536,20,636,155
32768,80,6296,0
256,69,1343,4
16384,46,2467,2
2048,55,1846,1
1024,86,4031,0
32768,43,2775,0
1024,4,182,0
2048,90,3797,3
8192,77,1896,44
512,12,213,10
256,64,379,26
8192,14,572,7
8192,43,2985,0
32768,11,461,14
8192,5,203,6
4096,8,311,2
8192,45,2181,2
1024,65,2908,0
256,29,919,1
8192,90,4572,1
16384,7,461,0
4096,68,4396,0
2048,29,751,12
8192,22,1150,0
16384,99,3315,36
1024,44,1112,7
2048,59,2930,2
4096,62,1500,35
256,14,483,1
256,14,490,0
32768,94,4987,6
256,91,5818,0
32768,64,4933,0
2048,45,1121,9
32768,75,3585,9
1024,28,486,23
256,32,365,8
65536,4,271,0
256,95,5213,0
16384,77,3766,3
2048,28,545,21
8192,85,4714,0
16384,74,3186,8
256,51,1891,0
16384,13,652,4
8192,54,1115,89
65536,60,4508,0
