k,d,max_steps,acc
1,16,1,0.609375
1,16,2,0.6796875
1,16,4,0.6171875
1,16,64,0.5625
1,32,1,1.0
1,32,2,1.0
1,32,4,1.0
1,32,64,1.0
1,48,1,1.0
1,48,2,1.0
1,48,4,1.0
1,48,64,1.0
1,64,1,1.0
1,64,2,1.0
1,64,4,1.0
1,64,64,1.0
1,80,1,1.0
1,80,2,1.0
1,80,4,1.0
1,80,64,1.0
1,96,1,1.0
1,96,2,1.0
1,96,4,1.0
1,96,64,1.0
1,112,1,1.0
1,112,2,1.0
1,112,4,1.0
1,112,64,1.0
1,128,1,1.0
1,128,2,1.0
1,128,4,1.0
1,128,64,1.0
1,144,1,1.0
1,144,2,1.0
1,144,4,1.0
1,144,64,1.0
1,160,1,1.0
1,160,2,1.0
1,160,4,1.0
1,160,64,1.0
1,176,1,1.0
1,176,2,1.0
1,176,4,1.0
1,176,64,1.0
1,192,1,1.0
1,192,2,1.0
1,192,4,1.0
1,192,64,1.0
1,208,1,1.0
1,208,2,1.0
1,208,4,1.0
1,208,64,1.0
1,224,1,1.0
1,224,2,1.0
1,224,4,1.0
1,224,64,1.0
1,240,1,1.0
1,240,2,1.0
1,240,4,1.0
1,240,64,1.0
1,256,1,1.0
1,256,2,1.0
1,256,4,1.0
1,256,64,1.0
1,272,1,1.0
1,272,2,1.0
1,272,4,1.0
1,272,64,1.0
1,288,1,1.0
1,288,2,1.0
1,288,4,1.0
1,288,64,1.0
1,304,1,1.0
1,304,2,1.0
1,304,4,1.0
1,304,64,1.0
1,320,1,1.0
1,320,2,1.0
1,320,4,1.0
1,320,64,1.0
1,336,1,1.0
1,336,2,1.0
1,336,4,1.0
1,336,64,1.0
1,352,1,1.0
1,352,2,1.0
1,352,4,1.0
1,352,64,1.0
1,368,1,1.0
1,368,2,1.0
1,368,4,1.0
1,368,64,1.0
1,384,1,1.0
1,384,2,1.0
1,384,4,1.0
1,384,64,1.0
1,400,1,1.0
1,400,2,1.0
1,400,4,1.0
1,400,64,1.0
1,416,1,1.0
1,416,2,1.0
1,416,4,1.0
1,416,64,1.0
1,432,1,1.0
1,432,2,1.0
1,432,4,1.0
1,432,64,1.0
1,448,1,1.0
1,448,2,1.0
1,448,4,1.0
1,448,64,1.0
1,464,1,1.0
1,464,2,1.0
1,464,4,1.0
1,464,64,1.0
1,480,1,1.0
1,480,2,1.0
1,480,4,1.0
1,480,64,1.0
1,496,1,1.0
1,496,2,1.0
1,496,4,1.0
1,496,64,1.0
1,512,1,1.0
1,512,2,1.0
1,512,4,1.0
1,512,64,1.0
1,528,1,1.0
1,528,2,1.0
1,528,4,1.0
1,528,64,1.0
1,544,1,1.0
1,544,2,1.0
1,544,4,1.0
1,544,64,1.0
1,560,1,1.0
1,560,2,1.0
1,560,4,1.0
1,560,64,1.0
1,576,1,1.0
1,576,2,1.0
1,576,4,1.0
1,576,64,1.0
1,592,1,1.0
1,592,2,1.0
1,592,4,1.0
1,592,64,1.0
1,608,1,1.0
1,608,2,1.0
1,608,4,1.0
1,608,64,1.0
1,624,1,1.0
1,624,2,1.0
1,624,4,1.0
1,624,64,1.0
1,640,1,1.0
1,640,2,1.0
1,640,4,1.0
1,640,64,1.0
1,656,1,1.0
1,656,2,1.0
1,656,4,1.0
1,656,64,1.0
1,672,1,1.0
1,672,2,1.0
1,672,4,1.0
1,672,64,1.0
1,688,1,1.0
1,688,2,1.0
1,688,4,1.0
1,688,64,1.0
1,704,1,1.0
1,704,2,1.0
1,704,4,1.0
1,704,64,1.0
1,720,1,1.0
1,720,2,1.0
1,720,4,1.0
1,720,64,1.0
1,736,1,1.0
1,736,2,1.0
1,736,4,1.0
1,736,64,1.0
1,752,1,1.0
1,752,2,1.0
1,752,4,1.0
1,752,64,1.0
1,768,1,1.0
1,768,2,1.0
1,768,4,1.0
1,768,64,1.0
1,784,1,1.0
1,784,2,1.0
1,784,4,1.0
1,784,64,1.0
1,800,1,1.0
1,800,2,1.0
1,800,4,1.0
1,800,64,1.0
1,816,1,1.0
1,816,2,1.0
1,816,4,1.0
1,816,64,1.0
1,832,1,1.0
1,832,2,1.0
1,832,4,1.0
1,832,64,1.0
1,848,1,1.0
1,848,2,1.0
1,848,4,1.0
1,848,64,1.0
1,864,1,1.0
1,864,2,1.0
1,864,4,1.0
1,864,64,1.0
