n,d,k,b,accuracy
1048576,82,2,50,1.0
1048576,164,2,50,1.0
1048576,246,2,50,1.0
1048576,328,2,50,1.0
1048576,410,2,50,1.0
1048576,492,2,50,1.0
1048576,574,2,50,1.0
1048576,656,2,50,1.0
1048576,738,2,50,1.0
1048576,820,2,50,1.0
1048576,902,2,50,1.0
1048576,984,2,50,1.0
1048576,82,3,50,1.0
1048576,164,3,50,1.0
1048576,246,3,50,1.0
1048576,328,3,50,1.0
1048576,410,3,50,1.0
1048576,492,3,50,1.0
1048576,574,3,50,1.0
1048576,656,3,50,1.0
1048576,738,3,50,1.0
1048576,820,3,50,1.0
1048576,902,3,50,1.0
1048576,984,3,50,1.0
1048576,82,4,50,0.8999999761581421
1048576,164,4,50,1.0
1048576,246,4,50,1.0
1048576,328,4,50,1.0
1048576,410,4,50,1.0
1048576,492,4,50,1.0
1048576,574,4,50,1.0
1048576,656,4,50,1.0
1048576,738,4,50,1.0
1048576,820,4,50,1.0
1048576,902,4,50,1.0
1048576,984,4,50,1.0
1048576,82,5,50,0.6000000238418579
1048576,164,5,50,1.0
1048576,246,5,50,1.0
1048576,328,5,50,1.0
1048576,410,5,50,1.0
1048576,492,5,50,1.0
1048576,574,5,50,1.0
1048576,656,5,50,1.0
1048576,738,5,50,1.0
1048576,820,5,50,1.0
1048576,902,5,50,1.0
1048576,984,5,50,1.0
1048576,82,6,50,0.30000001192092896
1048576,164,6,50,1.0
1048576,246,6,50,1.0
1048576,328,6,50,1.0
1048576,410,6,50,1.0
1048576,492,6,50,1.0
1048576,574,6,50,1.0
1048576,656,6,50,1.0
1048576,738,6,50,1.0
1048576,820,6,50,1.0
1048576,902,6,50,1.0
1048576,984,6,50,1.0
1048576,82,7,50,0.07999999821186066
1048576,164,7,50,1.0
1048576,246,7,50,1.0
1048576,328,7,50,1.0
1048576,410,7,50,1.0
1048576,492,7,50,1.0
1048576,574,7,50,1.0
1048576,656,7,50,1.0
1048576,738,7,50,1.0
1048576,820,7,50,1.0
1048576,902,7,50,1.0
1048576,984,7,50,1.0
1048576,82,8,50,0.0
1048576,164,8,50,0.8399999737739563
1048576,246,8,50,1.0
1048576,328,8,50,1.0
1048576,410,8,50,1.0
1048576,492,8,50,1.0
1048576,574,8,50,1.0
1048576,656,8,50,1.0
1048576,738,8,50,1.0
1048576,820,8,50,1.0
1048576,902,8,50,1.0
1048576,984,8,50,1.0
1048576,82,9,50,0.0
1048576,164,9,50,0.8799999952316284
1048576,246,9,50,1.0
1048576,328,9,50,1.0
1048576,410,9,50,1.0
1048576,492,9,50,1.0
1048576,574,9,50,1.0
1048576,656,9,50,1.0
1048576,738,9,50,1.0
1048576,820,9,50,1.0
1048576,902,9,50,1.0
1048576,984,9,50,1.0
1048576,82,10,50,0.0
1048576,164,10,50,0.7200000286102295
1048576,246,10,50,1.0
1048576,328,10,50,1.0
1048576,410,10,50,1.0
1048576,492,10,50,1.0
1048576,574,10,50,1.0
1048576,656,10,50,1.0
1048576,738,10,50,1.0
1048576,820,10,50,1.0
1048576,902,10,50,1.0
1048576,984,10,50,1.0
1048576,82,11,50,0.0
1048576,164,11,50,0.46000000834465027
1048576,246,11,50,1.0
1048576,328,11,50,1.0
1048576,410,11,50,1.0
1048576,492,11,50,1.0
1048576,574,11,50,1.0
1048576,656,11,50,1.0
1048576,738,11,50,1.0
1048576,820,11,50,1.0
1048576,902,11,50,1.0
1048576,984,11,50,1.0
1048576,82,12,50,0.0
1048576,164,12,50,0.25999999046325684
1048576,246,12,50,0.9800000190734863
1048576,328,12,50,1.0
1048576,410,12,50,1.0
1048576,492,12,50,1.0
1048576,574,12,50,1.0
1048576,656,12,50,1.0
1048576,738,12,50,1.0
1048576,820,12,50,1.0
1048576,902,12,50,1.0
1048576,984,12,50,1.0
1048576,82,13,50,0.0
1048576,164,13,50,0.14000000059604645
1048576,246,13,50,0.9200000166893005
1048576,328,13,50,1.0
1048576,410,13,50,1.0
1048576,492,13,50,1.0
1048576,574,13,50,1.0
1048576,656,13,50,1.0
1048576,738,13,50,1.0
1048576,820,13,50,1.0
1048576,902,13,50,1.0
1048576,984,13,50,1.0
1048576,82,14,50,0.0
1048576,164,14,50,0.019999999552965164
1048576,246,14,50,0.8399999737739563
1048576,328,14,50,0.9800000190734863
1048576,410,14,50,1.0
1048576,492,14,50,1.0
1048576,574,14,50,1.0
1048576,656,14,50,1.0
1048576,738,14,50,1.0
1048576,820,14,50,1.0
1048576,902,14,50,1.0
1048576,984,14,50,1.0
1048576,82,15,50,0.0
1048576,164,15,50,0.0
1048576,246,15,50,0.7400000095367432
1048576,328,15,50,1.0
1048576,410,15,50,1.0
1048576,492,15,50,1.0
1048576,574,15,50,1.0
1048576,656,15,50,1.0
1048576,738,15,50,1.0
1048576,820,15,50,1.0
1048576,902,15,50,1.0
1048576,984,15,50,1.0
1048576,82,16,50,0.0
1048576,164,16,50,0.0
1048576,246,16,50,0.6800000071525574
1048576,328,16,50,1.0
1048576,410,16,50,1.0
1048576,492,16,50,1.0
1048576,574,16,50,1.0
1048576,656,16,50,1.0
1048576,738,16,50,1.0
1048576,820,16,50,1.0
1048576,902,16,50,1.0
1048576,984,16,50,1.0
1048576,82,17,50,0.0
1048576,164,17,50,0.0
1048576,246,17,50,0.4399999976158142
1048576,328,17,50,0.9599999785423279
1048576,410,17,50,0.9800000190734863
1048576,492,17,50,1.0
1048576,574,17,50,1.0
1048576,656,17,50,1.0
1048576,738,17,50,1.0
1048576,820,17,50,1.0
1048576,902,17,50,1.0
1048576,984,17,50,1.0
1048576,82,18,50,0.0
1048576,164,18,50,0.0
1048576,246,18,50,0.30000001192092896
1048576,328,18,50,0.8799999952316284
1048576,410,18,50,1.0
1048576,492,18,50,1.0
1048576,574,18,50,1.0
1048576,656,18,50,1.0
1048576,738,18,50,1.0
1048576,820,18,50,1.0
1048576,902,18,50,1.0
1048576,984,18,50,1.0
1048576,82,19,50,0.0
1048576,164,19,50,0.0
1048576,246,19,50,0.14000000059604645
1048576,328,19,50,0.8999999761581421
1048576,410,19,50,0.9800000190734863
1048576,492,19,50,1.0
1048576,574,19,50,1.0
1048576,656,19,50,1.0
1048576,738,19,50,1.0
1048576,820,19,50,1.0
1048576,902,19,50,1.0
1048576,984,19,50,1.0
1048576,82,20,50,0.0
1048576,164,20,50,0.0
1048576,246,20,50,0.05999999865889549
1048576,328,20,50,0.7799999713897705
1048576,410,20,50,0.9800000190734863
1048576,492,20,50,1.0
1048576,574,20,50,1.0
1048576,656,20,50,1.0
1048576,738,20,50,1.0
1048576,820,20,50,1.0
1048576,902,20,50,1.0
1048576,984,20,50,1.0
1048576,82,21,50,0.0
1048576,164,21,50,0.0
1048576,246,21,50,0.03999999910593033
1048576,328,21,50,0.6600000262260437
1048576,410,21,50,0.9399999976158142
1048576,492,21,50,1.0
1048576,574,21,50,1.0
1048576,656,21,50,1.0
1048576,738,21,50,1.0
1048576,820,21,50,1.0
1048576,902,21,50,1.0
1048576,984,21,50,1.0
1048576,82,22,50,0.0
1048576,164,22,50,0.0
1048576,246,22,50,0.0
1048576,328,22,50,0.6000000238418579
1048576,410,22,50,0.8999999761581421
1048576,492,22,50,1.0
1048576,574,22,50,1.0
1048576,656,22,50,1.0
1048576,738,22,50,1.0
1048576,820,22,50,1.0
1048576,902,22,50,1.0
1048576,984,22,50,1.0
1048576,82,23,50,0.0
1048576,164,23,50,0.0
1048576,246,23,50,0.019999999552965164
1048576,328,23,50,0.4399999976158142
1048576,410,23,50,0.9399999976158142
1048576,492,23,50,0.9800000190734863
1048576,574,23,50,1.0
1048576,656,23,50,1.0
1048576,738,23,50,1.0
1048576,820,23,50,1.0
1048576,902,23,50,1.0
1048576,984,23,50,1.0
1048576,82,24,50,0.0
1048576,164,24,50,0.0
1048576,246,24,50,0.0
1048576,328,24,50,0.36000001430511475
1048576,410,24,50,0.800000011920929
1048576,492,24,50,1.0
1048576,574,24,50,1.0
1048576,656,24,50,1.0
1048576,738,24,50,1.0
1048576,820,24,50,1.0
1048576,902,24,50,1.0
1048576,984,24,50,1.0
1048576,82,25,50,0.0
1048576,164,25,50,0.0
1048576,246,25,50,0.0
1048576,328,25,50,0.14000000059604645
1048576,410,25,50,0.8799999952316284
1048576,492,25,50,0.9800000190734863
1048576,574,25,50,1.0
1048576,656,25,50,1.0
1048576,738,25,50,1.0
1048576,820,25,50,1.0
1048576,902,25,50,1.0
1048576,984,25,50,1.0
1048576,82,26,50,0.0
1048576,164,26,50,0.0
1048576,246,26,50,0.0
1048576,328,26,50,0.05999999865889549
1048576,410,26,50,0.7799999713897705
1048576,492,26,50,0.9800000190734863
1048576,574,26,50,1.0
1048576,656,26,50,1.0
1048576,738,26,50,1.0
1048576,820,26,50,1.0
1048576,902,26,50,1.0
1048576,984,26,50,1.0
1048576,82,27,50,0.0
1048576,164,27,50,0.0
1048576,246,27,50,0.0
1048576,328,27,50,0.05999999865889549
1048576,410,27,50,0.5400000214576721
1048576,492,27,50,0.9599999785423279
1048576,574,27,50,1.0
1048576,656,27,50,1.0
1048576,738,27,50,1.0
1048576,820,27,50,1.0
1048576,902,27,50,1.0
1048576,984,27,50,1.0
1048576,82,28,50,0.0
1048576,164,28,50,0.0
1048576,246,28,50,0.0
1048576,328,28,50,0.0
1048576,410,28,50,0.36000001430511475
