type,n,k,d,success_rate,b
topk,4096,12,6232,1.0,80
topk,4096,12,6888,1.0,80
topk,4096,12,7544,1.0,80
topk,4096,12,7708,1.0,80
threshold,4096,12,8036,1.0,80
threshold,8192,12,164,0.0,80
threshold,8192,12,328,0.0,80
threshold,8192,12,1148,1.0,80
topk,8192,12,1968,1.0,80
topk,8192,12,2132,1.0,80
topk,8192,12,2460,1.0,80
topk,8192,12,3116,1.0,80
topk,8192,12,3936,1.0,80
topk,8192,12,4264,1.0,80
threshold,8192,12,6724,1.0,80
topk,8192,12,7216,1.0,80
topk,8192,12,7380,1.0,80
topk,8192,12,7872,1.0,80
topk,16384,12,984,1.0,80
topk,16384,12,1312,1.0,80
threshold,16384,12,1476,1.0,80
threshold,16384,12,2624,1.0,80
topk,16384,12,3444,1.0,80
topk,16384,12,3608,1.0,80
topk,16384,12,3772,1.0,80
topk,16384,12,4592,1.0,80
threshold,16384,12,4920,1.0,80
threshold,16384,12,5412,1.0,80
threshold,16384,12,6232,1.0,80
threshold,16384,12,6888,1.0,80
threshold,16384,12,7544,1.0,80
threshold,16384,12,7708,1.0,80
threshold,32768,12,984,0.8625,80
threshold,32768,12,1312,1.0,80
topk,32768,12,1640,1.0,80
threshold,32768,12,3444,1.0,80
threshold,32768,12,3608,1.0,80
threshold,32768,12,3772,1.0,80
threshold,32768,12,4592,1.0,80
topk,32768,12,8036,1.0,80
threshold,65536,12,492,0.0,80
threshold,65536,12,656,0.0,80
threshold,65536,12,1804,1.0,80
threshold,65536,12,2296,1.0,80
topk,65536,12,2952,1.0,80
threshold,65536,12,3280,1.0,80
threshold,65536,12,4100,1.0,80
topk,65536,12,4428,1.0,80
threshold,65536,12,4756,1.0,80
topk,65536,12,5084,1.0,80
topk,65536,12,5248,1.0,80
topk,65536,12,5576,1.0,80
topk,65536,12,5740,1.0,80
topk,65536,12,6068,1.0,80
topk,65536,12,6396,1.0,80
threshold,65536,12,7052,1.0,80
threshold,131072,12,1476,1.0,80
topk,131072,12,1476,1.0,80
threshold,131072,12,2624,1.0,80
topk,131072,12,2624,1.0,80
threshold,131072,12,4920,1.0,80
topk,131072,12,4920,1.0,80
threshold,131072,12,5412,1.0,80
topk,131072,12,5412,1.0,80
threshold,131072,12,6232,1.0,80
topk,131072,12,6232,1.0,80
threshold,131072,12,6888,1.0,80
topk,131072,12,6888,1.0,80
threshold,131072,12,7544,1.0,80
topk,131072,12,7544,1.0,80
threshold,131072,12,7708,1.0,80
topk,131072,12,7708,1.0,80
topk,262144,12,164,0.0,80
topk,262144,12,328,0.0625,80
topk,262144,12,1148,1.0,80
threshold,262144,12,1968,1.0,80
threshold,262144,12,2132,1.0,80
threshold,262144,12,2460,1.0,80
threshold,262144,12,3116,1.0,80
threshold,262144,12,3936,1.0,80
threshold,262144,12,4264,1.0,80
topk,262144,12,6724,1.0,80
threshold,262144,12,7216,1.0,80
threshold,262144,12,7380,1.0,80
threshold,262144,12,7872,1.0,80
topk,1048576,46,1640,0.0,80
threshold,1048576,46,1968,0.0,80
threshold,1048576,46,2132,0.0,80
threshold,1048576,46,2460,0.0,80
threshold,1048576,46,3116,0.0,80
threshold,1048576,46,3936,0.15,80
threshold,1048576,46,4264,0.475,80
threshold,1048576,46,7216,1.0,80
threshold,1048576,46,7380,1.0,80
threshold,1048576,46,7872,1.0,80
topk,1048576,46,8036,1.0,80
threshold,256,48,1968,0.8375,80
topk,256,48,1968,0.9875,80
threshold,256,48,2132,0.9,80
topk,256,48,2132,1.0,80
threshold,256,48,2460,0.95,80
topk,256,48,2460,1.0,80
threshold,256,48,3116,0.9875,80
topk,256,48,3116,1.0,80
threshold,256,48,3936,1.0,80
topk,256,48,3936,1.0,80
threshold,256,48,4264,1.0,80
topk,256,48,4264,1.0,80
threshold,256,48,7216,1.0,80
topk,256,48,7216,1.0,80
threshold,256,48,7380,1.0,80
topk,256,48,7380,1.0,80
threshold,256,48,7872,1.0,80
topk,256,48,7872,1.0,80
threshold,512,48,164,0.0,80
threshold,512,48,328,0.0,80
threshold,512,48,1148,0.0375,80
topk,512,48,1476,0.7375,80
topk,512,48,2624,1.0,80
topk,512,48,4920,1.0,80
topk,512,48,5412,1.0,80
topk,512,48,6232,1.0,80
threshold,512,48,6724,1.0,80
topk,512,48,6888,1.0,80
topk,512,48,7544,1.0,80
topk,512,48,7708,1.0,80
threshold,1024,48,492,0.0,80
threshold,1024,48,656,0.0,80
topk,1024,48,1640,0.8375,80
threshold,1024,48,1804,0.35,80
threshold,1024,48,2296,0.75,80
threshold,1024,48,3280,0.9875,80
threshold,1024,48,4100,1.0,80
threshold,1024,48,4756,1.0,80
threshold,1024,48,7052,1.0,80
topk,1024,48,8036,1.0,80
topk,2048,48,164,0.0,80
topk,2048,48,328,0.0,80
topk,2048,48,1148,0.0875,80
threshold,2048,48,1476,0.0125,80
threshold,2048,48,2624,0.8375,80
threshold,2048,48,4920,1.0,80
threshold,2048,48,5412,1.0,80
threshold,2048,48,6232,1.0,80
topk,2048,48,6724,1.0,80
threshold,2048,48,6888,1.0,80
threshold,2048,48,7544,1.0,80
threshold,2048,48,7708,1.0,80
threshold,4096,48,984,0.0,80
threshold,4096,48,1312,0.0,80
topk,4096,48,1640,0.575,80
threshold,4096,48,3444,0.975,80
threshold,4096,48,3608,0.975,80
threshold,4096,48,3772,0.9875,80
threshold,4096,48,4592,0.9875,80
topk,4096,48,8036,1.0,80
threshold,8192,48,984,0.0,80
threshold,8192,48,1312,0.0,80
topk,8192,48,1476,0.275,80
topk,8192,48,2624,0.975,80
threshold,8192,48,3444,0.9375,80
threshold,8192,48,3608,0.9375,80
threshold,8192,48,3772,0.9625,80
threshold,8192,48,4592,0.9875,80
topk,8192,48,4920,1.0,80
topk,8192,48,5412,1.0,80
topk,8192,48,6232,1.0,80
topk,8192,48,6888,1.0,80
topk,8192,48,7544,1.0,80
topk,8192,48,7708,1.0,80
threshold,16384,48,164,0.0,80
threshold,16384,48,328,0.0,80
threshold,16384,48,1148,0.0,80
topk,16384,48,1476,0.175,80
topk,16384,48,2624,0.9625,80
topk,16384,48,4920,1.0,80
topk,16384,48,5412,1.0,80
topk,16384,48,6232,1.0,80
threshold,16384,48,6724,1.0,80
topk,16384,48,6888,1.0,80
topk,16384,48,7544,1.0,80
topk,16384,48,7708,1.0,80
threshold,32768,48,1968,0.0,80
threshold,32768,48,2132,0.0,80
threshold,32768,48,2460,0.025,80
topk,32768,48,2952,0.975,80
threshold,32768,48,3116,0.3625,80
threshold,32768,48,3936,0.925,80
threshold,32768,48,4264,0.975,80
topk,32768,48,4428,1.0,80
topk,32768,48,5084,1.0,80
topk,32768,48,5248,1.0,80
topk,32768,48,5576,1.0,80
topk,32768,48,5740,1.0,80
topk,32768,48,6068,1.0,80
topk,32768,48,6396,1.0,80
threshold,32768,48,7216,1.0,80
threshold,32768,48,7380,1.0,80
threshold,32768,48,7872,1.0,80
topk,65536,48,820,0.0,80
topk,65536,48,2788,0.95,80
threshold,65536,48,2952,0.0375,80
threshold,65536,48,4428,0.9,80
threshold,65536,48,5084,1.0,80
threshold,65536,48,5248,0.9875,80
threshold,65536,48,5576,1.0,80
threshold,65536,48,5740,1.0,80
topk,65536,48,5904,1.0,80
threshold,65536,48,6068,1.0,80
threshold,65536,48,6396,1.0,80
topk,65536,48,6560,1.0,80
topk,524288,12,820,1.0,80
topk,524288,12,2788,1.0,80
threshold,524288,12,2952,1.0,80
threshold,524288,12,4428,1.0,80
threshold,524288,12,5084,1.0,80
threshold,524288,12,5248,1.0,80
threshold,524288,12,5576,1.0,80
threshold,524288,12,5740,1.0,80
topk,524288,12,5904,1.0,80
threshold,524288,12,6068,1.0,80
threshold,524288,12,6396,1.0,80
topk,524288,12,6560,1.0,80
topk,131072,48,820,0.0,80
threshold,131072,48,1476,0.0,80
threshold,131072,48,2624,0.0,80
topk,131072,48,2788,0.9375,80
threshold,131072,48,4920,0.9625,80
threshold,131072,48,5412,0.9875,80
topk,131072,48,5904,1.0,80
threshold,131072,48,6232,1.0,80
topk,131072,48,6560,1.0,80
threshold,131072,48,6888,1.0,80
threshold,131072,48,7544,1.0,80
threshold,131072,48,7708,1.0,80
topk,262144,48,984,0.0,80
topk,262144,48,1312,0.0,80
threshold,262144,48,1968,0.0,80
threshold,262144,48,2132,0.0,80
threshold,262144,48,2460,0.0,80
threshold,262144,48,3116,0.0,80
topk,262144,48,3444,0.9875,80
topk,262144,48,3608,1.0,80
topk,262144,48,3772,1.0,80
threshold,262144,48,3936,0.55,80
threshold,262144,48,4264,0.725,80
topk,262144,48,4592,1.0,80
threshold,262144,48,7216,1.0,80
threshold,262144,48,7380,1.0,80
threshold,262144,48,7872,1.0,80
threshold,524288,48,1476,0.0,80
topk,524288,48,1968,0.125,80
topk,524288,48,2132,0.275,80
topk,524288,48,2460,0.6,80
threshold,524288,48,2624,0.0,80
topk,524288,48,3116,0.9625,80
topk,524288,48,3936,1.0,80
topk,524288,48,4264,1.0,80
threshold,524288,48,4920,0.925,80
threshold,524288,48,5412,0.975,80
threshold,524288,48,6232,1.0,80
threshold,524288,48,6888,1.0,80
topk,524288,48,7216,1.0,80
topk,524288,48,7380,1.0,80
threshold,524288,48,7544,1.0,80
threshold,524288,48,7708,1.0,80
topk,524288,48,7872,1.0,80
topk,1048576,12,820,1.0,80
threshold,1048576,12,1640,1.0,80
topk,1048576,12,2788,1.0,80
topk,1048576,12,5904,1.0,80
topk,1048576,12,6560,1.0,80
threshold,1048576,12,8036,1.0,80
topk,256,14,1476,1.0,80
threshold,256,14,1968,1.0,80
threshold,256,14,2132,1.0,80
threshold,256,14,2460,1.0,80
topk,256,14,2624,1.0,80
threshold,256,14,3116,1.0,80
threshold,256,14,3936,1.0,80
threshold,256,14,4264,1.0,80
topk,256,14,4920,1.0,80
topk,256,14,5412,1.0,80
topk,256,14,6232,1.0,80
topk,256,14,6888,1.0,80
threshold,256,14,7216,1.0,80
threshold,256,14,7380,1.0,80
topk,256,14,7544,1.0,80
topk,256,14,7708,1.0,80
threshold,256,14,7872,1.0,80
threshold,512,14,164,0.0,80
threshold,512,14,328,0.0,80
threshold,512,14,1148,1.0,80
topk,512,14,1968,1.0,80
topk,512,14,2132,1.0,80
topk,512,14,2460,1.0,80
topk,512,14,3116,1.0,80
topk,512,14,3936,1.0,80
topk,512,14,4264,1.0,80
threshold,512,14,6724,1.0,80
topk,512,14,7216,1.0,80
topk,512,14,7380,1.0,80
topk,512,14,7872,1.0,80
topk,1024,14,984,1.0,80
topk,1024,14,1312,1.0,80
threshold,1024,14,1968,1.0,80
threshold,1024,14,2132,1.0,80
threshold,1024,14,2460,1.0,80
threshold,1024,14,3116,1.0,80
