k,d,max_steps,n,acc
1,16,1,256,0.9972956730769231
1,16,1,4096,0.970625
1,16,1,65536,0.6421875
1,16,1,1048576,0.06477864583333333
1,16,2,256,0.9981617647058824
1,16,2,4096,0.96875
1,16,2,65536,0.6371875
1,16,2,1048576,0.06575520833333333
1,16,4,256,0.9984681372549019
1,16,4,4096,0.970625
1,16,4,65536,0.5978125
1,16,4,1048576,0.060221354166666664
1,16,64,256,0.9996875
1,16,64,4096,0.9675
1,16,64,65536,0.6412627551020408
1,16,64,1048576,0.06215277777777778
1,32,1,256,1.0
1,32,1,4096,1.0
1,32,1,65536,1.0
1,32,1,1048576,0.9996744791666666
1,32,2,256,1.0
1,32,2,4096,1.0
1,32,2,65536,1.0
1,32,2,1048576,1.0
1,32,4,256,1.0
1,32,4,4096,1.0
1,32,4,65536,1.0
1,32,4,1048576,1.0
1,32,64,256,1.0
1,32,64,4096,1.0
1,32,64,65536,1.0
1,32,64,1048576,1.0
1,48,1,256,1.0
1,48,1,4096,1.0
1,48,1,65536,1.0
1,48,1,1048576,1.0
1,48,2,256,1.0
1,48,2,4096,1.0
1,48,2,65536,1.0
1,48,2,1048576,1.0
1,48,4,256,1.0
1,48,4,4096,1.0
1,48,4,65536,1.0
1,48,4,1048576,1.0
1,48,64,256,1.0
1,48,64,4096,1.0
1,48,64,65536,1.0
1,48,64,1048576,1.0
1,64,1,256,1.0
1,64,1,4096,1.0
1,64,1,65536,1.0
1,64,1,1048576,1.0
1,64,2,256,1.0
1,64,2,4096,1.0
1,64,2,65536,1.0
1,64,2,1048576,1.0
1,64,4,256,1.0
1,64,4,4096,1.0
1,64,4,65536,1.0
1,64,4,1048576,1.0
1,64,64,256,1.0
1,64,64,4096,1.0
1,64,64,65536,1.0
1,64,64,1048576,1.0
1,80,1,256,1.0
1,80,1,4096,1.0
1,80,1,65536,1.0
1,80,1,1048576,1.0
1,80,2,256,1.0
1,80,2,4096,1.0
1,80,2,65536,1.0
1,80,2,1048576,1.0
1,80,4,256,1.0
1,80,4,4096,1.0
1,80,4,65536,1.0
1,80,4,1048576,1.0
1,80,64,256,1.0
1,80,64,4096,1.0
1,80,64,65536,1.0
1,80,64,1048576,1.0
1,96,1,256,1.0
1,96,1,4096,1.0
1,96,1,65536,1.0
1,96,1,1048576,1.0
1,96,2,256,1.0
1,96,2,4096,1.0
1,96,2,65536,1.0
1,96,2,1048576,1.0
1,96,4,256,1.0
1,96,4,4096,1.0
1,96,4,65536,1.0
1,96,4,1048576,1.0
1,96,64,256,1.0
1,96,64,4096,1.0
1,96,64,65536,1.0
1,96,64,1048576,1.0
1,112,1,256,1.0
1,112,1,4096,1.0
1,112,1,65536,1.0
1,112,1,1048576,1.0
1,112,2,256,1.0
1,112,2,4096,1.0
1,112,2,65536,1.0
1,112,2,1048576,1.0
1,112,4,256,1.0
1,112,4,4096,1.0
1,112,4,65536,1.0
1,112,4,1048576,1.0
1,112,64,256,1.0
1,112,64,4096,1.0
1,112,64,65536,1.0
