# run: show-little-cultural-morning
# time: 2025-09-22T16:14:04.412541+00:00
# command: bitrate_experiments/project/symbol_transmission.py --d_step 45 --noise_step 2 --n 65536
# git_commit: 04044e073aa75d9ce9955eb495498b8428cb409c
# config: {"n": 65536, "d_step": 45, "noise_step": 2, "resolution": 50}
n,noise,d,perceptron_success,max_success,step
65536,2,45,0.0,0.5,0
65536,4,45,0.0,0.1875,1
65536,6,45,0.0,0.0,2
65536,8,45,0.0,0.0,3
65536,10,45,0.0,0.0,4
65536,12,45,0.0,0.0,5
65536,14,45,0.0,0.0,6
65536,16,45,0.0,0.0,7
65536,18,45,0.0,0.0,8
65536,20,45,0.0,0.0,9
65536,22,45,0.0,0.0,10
65536,24,45,0.0,0.0,11
65536,26,45,0.0,0.0,12
65536,28,45,0.0,0.0,13
65536,30,45,0.0,0.0,14
65536,32,45,0.0,0.0,15
65536,34,45,0.0,0.0,16
65536,36,45,0.0,0.0,17
65536,38,45,0.0,0.0,18
65536,40,45,0.0,0.0,19
65536,42,45,0.0,0.0,20
65536,44,45,0.0,0.0,21
65536,46,45,0.0,0.0,22
65536,48,45,0.0,0.0,23
65536,50,45,0.0,0.0,24
65536,52,45,0.0,0.0,25
65536,54,45,0.0,0.0,26
65536,56,45,0.0,0.0,27
65536,58,45,0.0,0.0,28
65536,60,45,0.0,0.0,29
65536,62,45,0.0,0.0,30
65536,64,45,0.0,0.0,31
65536,66,45,0.0,0.0,32
65536,68,45,0.0,0.0,33
65536,70,45,0.0,0.0,34
65536,72,45,0.0,0.0,35
65536,74,45,0.0,0.0,36
65536,76,45,0.0,0.0,37
65536,78,45,0.0,0.0,38
65536,80,45,0.0,0.0,39
65536,82,45,0.0,0.0,40
65536,84,45,0.0,0.0,41
65536,86,45,0.0,0.0,42
65536,88,45,0.0,0.0,43
65536,90,45,0.0,0.0,44
65536,92,45,0.0,0.0,45
65536,94,45,0.0,0.0,46
65536,96,45,0.0,0.0,47
65536,98,45,0.0,0.0,48
65536,100,45,0.0,0.0,49
65536,2,90,0.0,0.96875,50
65536,4,90,0.0,0.59375,51
65536,6,90,0.0,0.28125,52
65536,8,90,0.0,0.15625,53
65536,10,90,0.0,0.09375,54
65536,12,90,0.0,0.03125,55
65536,14,90,0.0,0.0625,56
65536,16,90,0.0,0.0,57
65536,18,90,0.0,0.0625,58
65536,20,90,0.0,0.0,59
65536,22,90,0.0,0.0,60
65536,24,90,0.0,0.0,61
65536,26,90,0.0,0.0,62
65536,28,90,0.0,0.0,63
65536,30,90,0.0,0.0,64
65536,32,90,0.0,0.0,65
65536,34,90,0.0,0.0,66
65536,36,90,0.0,0.03125,67
65536,38,90,0.0,0.0,68
65536,40,90,0.0,0.0,69
65536,42,90,0.0,0.0,70
65536,44,90,0.0,0.0,71
65536,46,90,0.0,0.0,72
65536,48,90,0.0,0.0,73
65536,50,90,0.0,0.0,74
65536,52,90,0.0,0.0,75
65536,54,90,0.0,0.0,76
65536,56,90,0.0,0.0,77
65536,58,90,0.0,0.0,78
65536,60,90,0.0,0.03125,79
65536,62,90,0.0,0.0,80
65536,64,90,0.0,0.0,81
65536,66,90,0.0,0.03125,82
65536,68,90,0.0,0.0,83
65536,70,90,0.0,0.0,84
65536,72,90,0.0,0.0,85
65536,74,90,0.0,0.0,86
65536,76,90,0.0,0.0,87
65536,78,90,0.0,0.0,88
65536,80,90,0.0,0.0,89
65536,82,90,0.0,0.0,90
65536,84,90,0.0,0.0,91
65536,86,90,0.0,0.0,92
65536,88,90,0.0,0.0,93
65536,90,90,0.0,0.0,94
65536,92,90,0.0,0.0,95
65536,94,90,0.0,0.0,96
65536,96,90,0.0,0.0,97
65536,98,90,0.0,0.0,98
65536,100,90,0.0,0.0,99
65536,2,135,0.0,1.0,100
65536,4,135,0.0,0.90625,101
65536,6,135,0.0,0.5625,102
65536,8,135,0.0,0.3125,103
65536,10,135,0.0,0.25,104
65536,12,135,0.0,0.0625,105
65536,14,135,0.0,0.0625,106
65536,16,135,0.0,0.0,107
65536,18,135,0.0,0.09375,108
65536,20,135,0.0,0.0,109
65536,22,135,0.0,0.0,110
65536,24,135,0.0,0.0,111
65536,26,135,0.0,0.0,112
65536,28,135,0.0,0.03125,113
65536,30,135,0.0,0.0,114
65536,32,135,0.0,0.0625,115
65536,34,135,0.0,0.0,116
65536,36,135,0.0,0.0,117
65536,38,135,0.0,0.0,118
65536,40,135,0.0,0.03125,119
65536,42,135,0.0,0.0,120
65536,44,135,0.0,0.0,121
65536,46,135,0.0,0.0,122
65536,48,135,0.0,0.0,123
65536,50,135,0.0,0.0,124
65536,52,135,0.0,0.0,125
65536,54,135,0.0,0.0,126
65536,56,135,0.0,0.0,127
65536,58,135,0.0,0.03125,128
65536,60,135,0.0,0.0,129
65536,62,135,0.0,0.0,130
65536,64,135,0.0,0.0,131
65536,66,135,0.0,0.0,132
65536,68,135,0.0,0.0,133
65536,70,135,0.0,0.0,134
65536,72,135,0.0,0.0,135
65536,74,135,0.0,0.0,136
65536,76,135,0.0,0.0,137
65536,78,135,0.0,0.0,138
65536,80,135,0.0,0.0,139
65536,82,135,0.0,0.0,140
65536,84,135,0.0,0.0,141
65536,86,135,0.0,0.0,142
65536,88,135,0.0,0.0,143
65536,90,135,0.0,0.0,144
65536,92,135,0.0,0.0,145
65536,94,135,0.0,0.0,146
65536,96,135,0.0,0.0,147
65536,98,135,0.0,0.0,148
65536,100,135,0.0,0.0,149
65536,2,180,0.0625,1.0,150
65536,4,180,0.0,0.9375,151
65536,6,180,0.0,0.84375,152
65536,8,180,0.0,0.53125,153
65536,10,180,0.0,0.46875,154
65536,12,180,0.0,0.21875,155
65536,14,180,0.0,0.25,156
65536,16,180,0.0,0.15625,157
65536,18,180,0.0,0.0625,158
65536,20,180,0.0,0.125,159
65536,22,180,0.0,0.0625,160
65536,24,180,0.0,0.0,161
65536,26,180,0.0,0.125,162
65536,28,180,0.0,0.0625,163
65536,30,180,0.0,0.03125,164
65536,32,180,0.0,0.03125,165
65536,34,180,0.0,0.0,166
65536,36,180,0.0,0.0,167
65536,38,180,0.0,0.0,168
65536,40,180,0.0,0.0,169
65536,42,180,0.0,0.0,170
65536,44,180,0.0,0.03125,171
65536,46,180,0.0,0.0,172
65536,48,180,0.0,0.03125,173
65536,50,180,0.0,0.0,174
65536,52,180,0.0,0.0,175
65536,54,180,0.0,0.0,176
65536,56,180,0.0,0.0,177
65536,58,180,0.0,0.0,178
65536,60,180,0.0,0.0,179
65536,62,180,0.0,0.0,180
65536,64,180,0.0,0.03125,181
65536,66,180,0.0,0.0,182
65536,68,180,0.0,0.0,183
65536,70,180,0.0,0.0,184
65536,72,180,0.0,0.0,185
65536,74,180,0.0,0.0,186
65536,76,180,0.0,0.0,187
65536,78,180,0.0,0.0,188
65536,80,180,0.0,0.0,189
65536,82,180,0.0,0.0,190
65536,84,180,0.0,0.0,191
65536,86,180,0.0,0.0,192
65536,88,180,0.0,0.0,193
65536,90,180,0.0,0.0,194
65536,92,180,0.0,0.0,195
65536,94,180,0.0,0.0,196
65536,96,180,0.0,0.0,197
65536,98,180,0.0,0.0,198
65536,100,180,0.0,0.0,199
65536,2,225,0.71875,1.0,200
65536,4,225,0.0,1.0,201
65536,6,225,0.0,0.9375,202
65536,8,225,0.0,0.65625,203
65536,10,225,0.0,0.71875,204
65536,12,225,0.0,0.4375,205
65536,14,225,0.0,0.375,206
65536,16,225,0.0,0.4375,207
65536,18,225,0.0,0.21875,208
65536,20,225,0.0,0.125,209
