k,d,n,acc
1,64,4096,1.0
1,128,4096,1.0
1,192,4096,1.0
1,256,4096,1.0
1,320,4096,1.0
1,384,4096,1.0
1,448,4096,1.0
1,512,4096,1.0
1,576,4096,1.0
1,640,4096,1.0
1,704,4096,1.0
1,768,4096,1.0
1,832,4096,1.0
1,896,4096,1.0
1,960,4096,1.0
1,1024,4096,1.0
1,1088,4096,1.0
1,1152,4096,1.0
1,1216,4096,1.0
1,1280,4096,1.0
1,1344,4096,1.0
1,1408,4096,1.0
1,1472,4096,1.0
1,1536,4096,1.0
1,1600,4096,1.0
1,1664,4096,1.0
1,1728,4096,1.0
1,1792,4096,1.0
1,1856,4096,1.0
1,1920,4096,1.0
1,1984,4096,1.0
1,2048,4096,1.0
1,2112,4096,1.0
1,2176,4096,1.0
1,2240,4096,1.0
1,2304,4096,1.0
1,2368,4096,1.0
1,2432,4096,1.0
1,2496,4096,1.0
1,2560,4096,1.0
1,2624,4096,1.0
1,2688,4096,1.0
1,2752,4096,1.0
1,2816,4096,1.0
1,2880,4096,1.0
1,2944,4096,1.0
1,3008,4096,1.0
1,3072,4096,1.0
1,3136,4096,1.0
1,3200,4096,1.0
1,3264,4096,1.0
1,3328,4096,1.0
1,3392,4096,1.0
1,3456,4096,1.0
1,3520,4096,1.0
1,3584,4096,1.0
1,3648,4096,1.0
1,3712,4096,1.0
1,3776,4096,1.0
1,3840,4096,1.0
1,3904,4096,1.0
1,3968,4096,1.0
1,4032,4096,1.0
1,4096,4096,1.0
2,64,4096,1.0
2,128,4096,1.0
2,192,4096,1.0
2,256,4096,1.0
2,320,4096,1.0
2,384,4096,1.0
2,448,4096,1.0
2,512,4096,1.0
2,576,4096,1.0
2,640,4096,1.0
2,704,4096,1.0
2,768,4096,1.0
2,832,4096,1.0
2,896,4096,1.0
2,960,4096,1.0
2,1024,4096,1.0
2,1088,4096,1.0
2,1152,4096,1.0
2,1216,4096,1.0
2,1280,4096,1.0
2,1344,4096,1.0
2,1408,4096,1.0
2,1472,4096,1.0
2,1536,4096,1.0
2,1600,4096,1.0
2,1664,4096,1.0
2,1728,4096,1.0
2,1792,4096,1.0
2,1856,4096,1.0
2,1920,4096,1.0
2,1984,4096,1.0
2,2048,4096,1.0
2,2112,4096,1.0
2,2176,4096,1.0
